,age,gender,administrator,artist,doctor,educator,engineer,entertainment,executive,healthcare,homemaker,lawyer,librarian,marketing,none,other,programmer,retired,salesman,scientist,student,technician,writer,AZ,CA,CO,CT,DC,FL,GA,IA,IL,KY,MA,MD,MI,MN,MO,NC,NJ,NY,OH,OR,PA,SC,TN,TX,VA,WA,WI,latitude,longitude,"('rating', 'count')","('rating', 'mean')","('rating', 'std')","('rating', 'min')","('rating', '25%')","('rating', '50%')","('rating', '75%')","('rating', 'max')"
1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.2127,-110.8829,261.0,3.6015325670498086,1.25966935065269,1.0,3.0,4.0,5.0,5.0
2,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4056,-122.0775,105.9322033898305,3.5943931086034993,1.012554729639886,1.2697740112994351,2.9901129943502824,3.6977401129943503,4.347104519774011,4.978813559322034
3,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.1661,-81.7065,105.9322033898305,3.5943931086034993,1.012554729639886,1.2697740112994351,2.9901129943502824,3.6977401129943503,4.347104519774011,4.978813559322034
4,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41.5817,-83.6628,105.9322033898305,3.5943931086034993,1.012554729639886,1.2697740112994351,2.9901129943502824,3.6977401129943503,4.347104519774011,4.978813559322034
5,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40.444,-79.9552,175.0,2.874285714285714,1.3629630621197302,1.0,2.0,3.0,4.0,5.0
6,42,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47.6114,-122.3305,211.0,3.6350710900473935,1.0394606521187284,1.0,3.0,4.0,4.0,5.0
7,57,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2771,-118.4992,105.9322033898305,3.5943931086034993,1.012554729639886,1.2697740112994351,2.9901129943502824,3.6977401129943503,4.347104519774011,4.978813559322034
8,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.8827,-73.1923,59.0,3.7966101694915255,1.242628762729949,1.0,3.0,4.0,5.0,5.0
9,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.3671,-72.4646,22.0,4.2727272727272725,0.9351250581921515,1.0,4.0,4.0,5.0,5.0
10,53,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.8669,-118.0686,184.0,4.206521739130435,0.5827772864869103,3.0,4.0,4.0,5.0,5.0
11,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.8236,-84.3214,105.9322033898305,3.5943931086034993,1.012554729639886,1.2697740112994351,2.9901129943502824,3.6977401129943503,4.347104519774011,4.978813559322034
12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.28,-72.8106,51.0,4.392156862745098,0.7766191182954234,1.0,4.0,5.0,5.0,5.0
